time,phoneme,F1,F2,F3,,
3.539493314,/a/,968.9722096,1585.799083,2941.818443,,
3.837892039,/a/,734.3277715,764.1412329,1628.740292,,
4.132517805,/e/,723.0820252,907.603503,2311.799059,,
4.30264292,/a/,859.1944612,1070.802019,1685.189828,,
4.5369516,/a/,839.9747479,1104.179701,1830.038223,,
4.706303418,/ɒ/,704.5146276,1372.523455,3027.598264,,
5.588043661,/a/,727.0267015,1168.639702,1899.818351,,
5.94762629,/a/,855.7458551,1328.75419,1750.281477,,
6.184254858,/a/,746.9617754,1412.510817,2680.048259,,
6.47965392,/e/,754.2498136,788.3931193,2254.025181,,
6.671431322,/a/,886.0700322,1052.637707,1771.096415,,
6.881767827,/a/,829.4759517,1323.709926,1731.733082,,
7.051892942,/ɒ/,638.7873612,1284.087675,2953.041377,,
1.198447986,/a/,900.108592,1378.632122,2012.660391,,
1.601313792,/e/,575.9793958,2358.634779,2862.69213,,
1.733484277,/ʌ/,733.918525,774.5200603,2273.706857,,
1.855487801,/i/,474.400269,2715.230571,3240.946605,,
2.118557901,/ɞ/,603.3987635,1679.166208,1972.81699,,
2.314904269,/ɯ/,501.5225278,1685.124719,2895.590395,,
2.510430681,/ʊ/,576.9455484,1280.341798,2750.67961,,
2.821590992,/ɤ/,517.8755177,680.5928947,1432.986968,,
3.052858792,/a/,903.5989131,1615.034603,2629.821581,,
3.296741198,/ɯ/,523.6453611,1129.845141,2653.757896,,
3.504882217,/ʊ/,668.8073994,1682.400635,3014.685225,,
4.484521014,/a/,893.3385955,1277.021765,1771.656425,,
4.882303339,/e/,513.5105411,1755.705536,2505.902494,,
5.071662976,/ʌ/,715.1947193,2393.407799,2978.813045,,
5.225620733,/i/,237.3403724,482.4632307,2739.188411,,
5.398020365,/ɞ/,627.568896,1583.792973,1804.601657,,
5.612468687,/ɯ/,506.6976369,1616.62926,2971.06826,,
5.795380492,/ʊ/,618.9246509,1505.804048,2878.364597,,
6.133872453,/ɤ/,554.9789003,1571.668676,3068.951832,,
6.35042321,/a/,867.9615722,1627.819205,3070.326482,,
6.618311826,/ɯ/,571.3791477,1666.338614,3080.06474,,
6.807671463,/ʊ/,604.4900615,1089.119782,1743.322925,,
7.746867319,/a/,980.9008012,1296.927013,1424.668845,,
8.158629215,/e/,514.8783285,2533.252547,3025.103509,,
8.330196671,/ʌ/,599.7567187,824.6349036,2331.89343,,
8.423974945,/i/,493.6861007,2697.259728,3094.405677,,
8.733516653,/ɞ/,646.7028376,1532.774695,1915.640946,,
8.964784453,/ɯ/,618.7526671,1745.017913,2989.69797,,
9.162413299,/ʊ/,683.9088176,1554.346171,2853.954997,,
9.473573611,/ɤ/,492.7740098,969.5208792,2309.731003,,
9.718991524,/a/,822.857481,1260.100696,1784.278181,,
9.966022192,/ɯ/,424.1307219,991.1690884,2152.639377,,
10.14472913,/ʊ/,575.8977002,1229.958552,1819.920297,,
1.42974227,/ɶ/,560.1405141,1404.673237,2050.212705,,
1.757991326,/e/,583.9398402,2112.233518,2698.512378,,
1.883300948,/ʌ/,725.0289263,777.226542,2308.339883,,
1.932349657,/i/,560.6285899,1138.966006,2531.084212,,
2.117225563,/ɞ/,582.2192012,1297.897115,1902.938889,,
2.376303363,/ɤ/,540.5350753,1611.777065,2923.388162,,
2.598909045,/a/,928.4322555,1145.003608,1952.4116,,
2.947280649,/ɯ/,503.3258967,851.4089065,1494.652606,,
3.228996315,/ʊ/,573.2191299,1765.655324,2971.171802,,
3.67295002,/a/,735.7192267,866.0755142,1618.444858,,
3.864114222,/a/,959.6378868,1484.158747,2221.236695,,
4.823163316,/ɶ/,597.5478101,1569.898494,2139.02957,,
5.167761943,/e/,530.2045559,2436.443613,2916.603863,,
5.335030619,/ʌ/,772.5757215,2229.187438,2843.103414,,
5.403427025,/i/,533.9311737,2648.820731,3122.634429,,
5.592572926,/ɞ/,590.7958435,1089.149049,1940.394329,,
5.799106872,/ɤ/,508.3408453,1414.897204,1612.738921,,
6.014166599,/a/,509.9207594,929.7733939,1704.675302,,
6.299655242,/ɯ/,492.9465326,1383.221454,2124.853477,,
6.493543365,/ʊ/,547.072739,1291.881061,1871.147149,,
6.687014283,/a/,727.8101665,1442.687394,1733.471699,,
6.875663166,/a/,721.0712432,1347.296268,1903.893735,,
