time,phoneme,F1,F2,F3
7.231929544,/ɒ/,408.0350293,880.8979047,1021.503464
7.580079215,/a/,948.6193812,1813.524111,3216.554848
7.844315888,/a/,288.5980897,1080.890511,1599.249436
8.106953705,/a/,693.9527847,1711.991869,3438.591477
8.258711254,/a/,654.8457339,939.6390246,1600.175912
1.888583064,/a/,978.3325759,1339.423681,1697.812596
2.278777107,/e/,418.8748255,2496.877791,3104.835993
2.713311784,/u/,758.1615695,1447.36253,3176.863354
2.79209818,/ɑ/,435.5697457,666.9828406,1121.912737
3.165666251,/a/,496.5254906,1156.322112,2132.012745
3.298592313,/a/,758.5346211,1793.284932,2901.551232
3.369639001,/ɪ/,484.601444,2684.52922,3095.37322
3.617156496,/a/,795.1279449,1159.120095,1794.452803
3.768595278,/e/,559.5405977,1021.308995,1893.018782
3.892354026,/ɶ/,220.1880063,862.1904142,2773.51399
4.668373099,/a/,938.0691937,1391.975602,3201.696266
5.061412039,/e/,502.0480407,2589.596175,3068.23126
5.410353927,/u/,587.2177604,1329.270187,1741.638012
5.554148662,/ɑ/,380.1112799,695.3219449,1153.232041
5.891586971,/a/,749.263068,1242.300038,2604.694529
6.041979746,/a/,760.9963396,1560.483685,3215.662725
6.125302279,/ɪ/,577.1500824,2367.984246,2589.236861
6.399076314,/a/,883.8446301,1529.4981,1648.715985
6.543615401,/e/,623.9447848,2008.998517,3283.146531
6.595327364,/ɶ/,405.9224425,863.6935947,1607.361738
7.460104715,/a/,876.7379,1304.828611,2505.497472
7.826158155,/e/,512.5401995,2523.510404,3360.226467
8.165345287,/u/,650.6611481,1408.226288,1826.654724
8.269452229,/ɑ/,437.4954837,704.7622584,1123.765478
8.491099266,/a/,1095.395454,1581.968752,2748.38388
8.709388015,/a/,432.0168328,721.7945396,1478.559957
8.800270798,/ɪ/,481.116676,773.7088485,2612.601368
9.022446425,/a/,844.2207401,1581.850031,1852.340207
9.158889579,/e/,257.7036861,643.9177393,2119.316905
9.208927562,/ɪ/,334.0658824,783.2335615,1612.088152
0.580046453,/a/,520.7490683,1311.676747,2848.772977
0.800722565,/ʌ/,462.8155917,999.0406146,3280.106225
0.862239092,/ɔ/,463.0695682,751.6061796,2856.287045
0.921094289,/u/,353.5039921,1479.399281,2804.739106
1.28282127,/ɤ/,444.44426,1745.98301,3162.712195
1.412909641,/a/,888.9965427,1158.18722,1668.194897
1.612042291,/ɯ/,231.7249055,701.8261764,2834.585487
1.820100922,/ʊ/,602.7003002,2033.543276,3440.744176
2.804911774,/a/,806.4800941,1251.180509,1948.335434
3.146127928,/ʌ/,537.6567313,942.7284992,2658.212361
3.39302417,/ɔ/,427.6768712,854.5642952,1248.803608
3.470699392,/u/,369.3967557,661.7187302,894.6693543
3.875720193,/ɤ/,577.9484084,1555.829977,3126.623965
4.10319763,/a/,516.3890852,932.4026487,1448.165537
4.320642429,/ɯ/,406.9295306,793.3019866,1444.809317
4.512056369,/ʊ/,671.2144803,918.740853,1872.849093
5.289492134,/a/,951.6847749,1399.109594,1918.73632
5.643135092,/ʌ/,565.3576563,868.5680341,1516.515176
5.878934874,/ɔ/,416.6027438,859.3113214,1126.939726
5.978803016,/u/,600.6979343,897.6595441,2863.2551
6.299916511,/ɤ/,502.5979947,724.5694692,1872.846082
6.521845717,/a/,468.1371307,949.1465314,1468.465993
6.779838419,/ɯ/,302.7353366,772.1399273,2091.242034
6.932414748,/ʊ/,325.3786913,750.9759709,1684.165109
0.807612864,/a/,572.9910492,953.8792178,1414.182136
1.085018512,/a/,800.8097188,963.4065254,3599.564927
1.582953192,/ɤ/,474.3011306,865.0107275,1329.858681
1.637081123,/i/,413.865903,722.7537533,2322.945031
1.815273306,/a/,637.6766659,2210.995574,3015.316169
